Country	Region	Area_km2	Population	GDP_dollar	GDP_per_capita	Capital	Latitude	Longitude	Drinking_total	Life_Expectancy_Male	Life_Expectancy_Female	Density	Country_2	Gini_coeff	prop10	prop20	year_gini
Korea_North	AS	120540	22912177	40000000000	1700	Pyongyang__	39.0167	125.75	100	60.1	66.1	190.1					
Korea_South	AS	98480	48640671	9.25E+11	19200	Seoul	37.5833	127	92	73.2	80.5	493.9	South Korea	31.6	7.8	4.7	1998
Kuwait	ME	17820	2335648	48000000000	21300	Kuwait	29.3333	47.9833	91	75.1	79.4	131.1					
Kyrgyzstan	AS	198500	5146281	8495000000	1700	Bishkek	42.9	74.6	77	62.6	71.1	25.9	Kyrgyzstan	34.8	8.6	5.5	2002
Laos	AS	236800	6217141	11280000000	1900	Vientiane	17.9667	102.6	37	53.3	55.8	26.3	Laos	37	9.7	6	1997
Latvia	EU	64589	2290237	26530000000	11500	Riga	56.9667	24.1333		65.6	76.9	35.5	Latvia	33.6	9.2	5.6	1998
Lebanon	ME	10400	3826018	18830000000	5000	Beirut	33.8833	35.5	100	69.7	74	367.9					
Lesotho	AF	30355	2031348	5892000000	3200	Maseru	-29.4667	27.5	78	34.9	38.1	66.9	Lesotho	63.2	105	44.2	1995
Liberia	AF	111370	2900269	2903000000	900	Monrovia	6.3	-10.7833	62	41.4	43.5	26					
Libya	AF	1759540	5765563	37480000000	6700	Tripoli	32.75	13.1833	72	71.4	76	3.3					
Liechtenstein	EU	160	33717	825000000	25000	Vaduz	47.1333	9.5	100			210.7					
Lithuania	EU	65200	3596617	45230000000	12500	Vilnius	54.6833	25.2833		66.5	77.8	55.2	Lithuania	31.9	7.9	5.1	2000
Luxembourg	EU	2586	468571	27270000000	58900	Luxembourg	49.6	6.1333	100	75.1	81.4	181.2					
Macedonia	EU	25333	2045262	14400000000	7100	Skopje	42	21.4333				80.7	Macedonia	28.2	6.8	4.4	1998
Madagascar	AF	587040	18040341	14560000000	800	Antananarivo	-18.8667	47.5	47	54	56.7	30.7	Madagascar	47.5	19.2	11	2001
Malawi	AF	118480	12707464	7410000000	600	Lilongwe	-13.9833	33.7333	57	39.7	39.6	107.3	Malawi	50.3	22.7	11.6	1997
Malaysia	AS	329750	23953136	2.29E+11	9700	Kuala_Lumpur	3.1667	101.7	81	70.8	75.5	72.6	Malaysia	49.2	22.1	12.4	1997
Maldives	AS	300	349106	1250000000	3900	Male	4.1667	73.5	100	66.9	65.8	1163.7					
Mali	AF	1240000	11415261	11000000000	900	Bamako	12.65	-8	65	47.1	48.4	9.2	Mali	50.5	23.1	12.2	1994
Malta	EU	316	398534	7223000000	18200	Valletta	35.9	14.5167	100	75.8	80.7	1261.2					
Mauritania	AF	1030700	3086859	5534000000	1800	Nouakchott	18.1	-15.95	37	50.9	54.1	3	Mauritania	39	12	7.4	2000
Mauritius	AF	2040	1230602	15680000000	12800	Port_Louis	-20.1667	57.5	100	68.7	75.6	603.2					
Mayotte	AF	374	193633	466800000	2600	Mamoutzou	-12.7833	45.2333	52			517.7					
Mexico	CA	1972550	106202903	1.01E+12	9600	Mexico_City	19.4	-99.15	88	72.4	77.4	53.8	Mexico	54.6	45	19.3	2000
Moldova	EU	33843	4455421	8581000000	1900	Chisinau	47	28.8333	92	63.7	71.1	131.6	Moldova	36.9	10.3	6.5	2002
Monaco	EU	2	32409	870000000	27000	Monaco	43.7333	7.4	100			16204.5					
Mongolia	AS	1564116	2791272	5332000000	1900	Ulaanbaatar	47.9167	106.8833	60	61.9	65.9	1.8	Mongolia	30.3	17.8	9.1	1998
Morocco	AF	446550	32725847	1.35E+11	4200	Rabat	34.0333	-6.85	80	67.4	71.7	73.3	Morocco	39.5	11.7	7.2	1998
Mozambique	AF	801590	19406703	23380000000	1200	Maputo	-25.9667	32.5833	57	41	42.8	24.2	Mozambique	39.6	12.5	7.2	1996
Namibia	AF	825418	2030692	14760000000	7300	Windhoek	-22.9333	17.15	77	47.7	49.4	2.5	Namibia	70.7	128.8	56.1	1993
Nepal	AS	140800	27676547	39530000000	1500	Kathmandu	27.7167	85.3167	88	60.9	61.7	196.6	Nepal	36.7	9.3	5.9	1995
Netherlands	EU	41526	16407491	4.81E+11	29500	Amsterdam	52.3833	4.9	100	75.6	81	395.1	Netherlands	30.9	9.2	5.1	1999
New_Zealand	AU	268680	4035461	92510000000	23200	Wellington	-41.2833	174.7833	100	76.7	81.3	15	New Zealand	36.2	12.5	6.8	1997
Nicaragua	CA	129494	5465100	12340000000	2300	Managua	12.15	-86.2833	77	67.1	71.9	42.2	Nicaragua	43.1	15.5	8.8	2001
Niger	AF	1267000	12162856	9716000000	900	Niamey	13.5167	2.1167	59	44.2	44.3	9.6	Niger	50.5	46	20.7	1995
Nigeria	AF	923768	128765768	1.26E+11	1000	Abuja	9.2	7.1833	62	43.1	43.5	139.4	Nigeria	50.6	24.9	12.8	1996
Norway	EU	324220	4593041	1.83E+11	40000	Oslo	59.9167	10.75	100	76.7	81.8	14.2	Norway	25.8	6.1	3.9	2000
Oman	ME	212460	3001583	38090000000	13100	Muscat	23.6167	58.5833	39	72.7	75.6	14.1					
Pakistan	AS	803940	162419946	3.47E+11	2200	Islamabad	33.7	73.1667	90	62.7	63.1	202	Pakistan	33	7.6	4.8	1998
Palau	AU	458	20303	174000000	9000	Koror	7.35	134.4667	79	67.2	75.1	44.3					
Palestina	ME	6220	3761904	2568000000	700	Jerusalem	31.7833	35.2333	86	70.8	73.9	604.8					
Panama	CA	78200	3140232	20570000000	6900	Panama_City	8.9667	-79.5333	90	72.2	77.4	40.2	Panama	56.4	62.3	24.7	2000
Papua_New_Guinea	AU	462840	5545268	11990000000	2200	Port_Moresby	-9.5	147.1667	42	54.7	55.8	12	Papua New Guinea	50.9	23.8	12.6	1996
Paraguay	SA	406750	6347884	29930000000	4800	Asuncion	-25.2667	-57.6667	78	68.6	73.1	15.6	Paraguay	57.8	73.4	27.8	2002
Peru	SA	1285220	27925628	1.55E+11	5600	Lima	-12.05	-77.05	80	67.3	72.4	21.7	Peru	49.8	49.9	18.4	2000
Philippines	AS	300000	87857473	4.31E+11	5000	Manila	14.5833	121	86	68.1	72.4	292.9	Philippines	46.1	16.5	9.7	2000
Poland	EU	312685	38557984	4.63E+11	12000	Warsaw	52.2167	21.0333		70.2	78.4	123.3	Poland	34.1	8.6	5.5	2002
Portugal	EU	92391	10566212	1.89E+11	17900	Lisbon	38.7167	-9.1333	98	73.8	80.5	114.4	Portugal	38.5	15	8	1997
Puerto_Rico	CA	9104	3911299	68950000000	17700	San_Juan	18.4833	-66.1333	86	71.6	80.5	429.6					
Qatar	ME	11437	863051	19490000000	23200	Doha	25.2833	51.5333	95	71.1	75.8	75.5					
Reunion	AF	2517	776948	4570000000	6000	Saint_Denis	-21.0833	55.4833	50	71.3	79.6	308.7					
Romania	EU	237500	22329977	1.72E+11	7700	Bucharest	44.4333	26.1	58	67.7	75	94	Romania	30.3	8.1	5.2	2002
Russia	AS	17075200	143420309	1.41E+12	9800	Moscow	55.75	37.5833	99	59.1	72.2	8.4	Russia	31	7.1	4.8	2002
Rwanda	AF	26338	8440820	10430000000	1300	Kigali	-1.95	30.0667	41	41.9	45.3	320.5	Rwanda	28.9	5.8	4	1983
Saint_Helena	AF	410	7460	18000000	2500	Mamoutzou	-12.7833	45.2333	100			18.2					
Samoa	AU	2944	177287	1000000000	5600	Apia	-13.5833	-172.3333	99	67.1	73.5	60.2					
San_Marino	EU	61	28880	940000000	34600	San_Marino	43.9333	12.45	100			473.4					
Saudi_Arabia	ME	1960582	26417599	3.10E+11	12000	Riyadh	24.7	46.7167	95	69.9	73.8	13.5					
Senegal	AF	196190	11706498	18360000000	1700	Dakar	14.6667	-17.4333	78	54.4	56.8	59.7	Senegal	41.3	12.8	7.5	1995
Serbia_and_Montenegro	EU	102350	10829175	26270000000	2400	Belgrade__	44.8333	20.5	98	70.9	75.6	105.8					
Seychelles	AF	455	81188	626000000	7800	Victoria	-4.6167	55.45	50			178.4					
Sierra_Leone	AF	71740	5867426	3335000000	600	Freetown	8.5	-13.25	57	39.3	42	81.8	Sierra Leone	62.9	87.2	57.6	1989
Singapore	AS	693	4425720	1.21E+11	27800	Singapore	1.2833	103.85	100	76.7	80.5	6386.3	Singapore	42.5	17.7	9.7	1998
Slovakia	EU	48845	5431363	78890000000	14500	Bratislava	48.15	17.1167	100	70	77.9	111.2	Slovakia	25.8	6.7	4	1996
Slovenia	EU	20273	2011070	39410000000	19600	Ljubljana	46.05	14.5167	100	72.6	79.9	99.2	Slovenia	28.4	5.9	3.9	1998
Solomon_Islands	AU	28450	538032	800000000	1700	Honiara	-9.4667	159.8167	71	61.6	62.9	18.9					
Somalia	AF	637657	8591629	4597000000	600	Mogadishu	2.0667	45.3667	60	45	47.3	13.5					
South_Africa	AF	1219912	44344136	4.91E+11	11100	Pretoria	-25.75	28.1667	86	47.1	51	36.4	South Africa	57.8	33.1	17.9	2000
Spain	EU	504782	40341462	9.38E+11	23300	Madrid	40.4	-3.6833	98	75.8	83.1	79.9	Spain	32.5	9	5.4	1990
Sri_Lanka	AS	65610	20064776	80580000000	4000	Colombo	6.9333	79.85	77	71.3	76.7	305.8	Sri Lanka	33.2	8.1	5.1	1999
Sudan	AF	2505810	40187486	76190000000	1900	Khartoum	15.6	32.5333	75	54.9	57.9	16					
Suriname	SA	163270	438144	1885000000	4300	Paramaribo	4	-56	82	65.8	72.5	2.7					
Swaziland	AF	17363	1138227	6018000000	5100	Mbabane	-26.3	31.1	72	32.5	33.4	65.6	Swaziland	60.9	49.7	23.8	1994
Sweden	EU	449964	9001774	2.55E+11	28400	Stockholm	59.35	18.0667	100	77.8	82.3	20	Sweden	25	6.2	4	2000
Switzerland	EU	41290	7489370	2.52E+11	33800	Bern__	46.95	7.4333	100	77.6	83.1	181.4	Switzerland	33.1	9.9	5.8	1992
Syria	AF	185180	18448752	60440000000	3400	Damascus	33.5	36.3	80	71.4	74.9	99.6					
Taiwan	AS	35980	22894384	5.76E+11	25300	Taipei	25.0333	121.6333	75			636.3					
Tajikistan	AS	143100	7163506	7950000000	1100	Dushanbe	38.5833	68.8	60	61	66.3	50.1	Tajikistan	32.6	7.8	5.2	2003
Tanzania	AF	945087	36766356	23710000000	700	Dar_es_Salaam	-6.8	39.2833	68	45.6	46.4	38.9	Tanzania	38.2	10.8	6.7	1993
Thailand	AS	514000	64185502	5.25E+11	8100	Bangkok	13.75	100.5167	84	66	73.7	124.9	Thailand	43.2	13.4	8.3	2000
Togo	AF	56785	5399991	8684000000	1600	Lome	6.1333	1.2167	54	52.3	56.2	95.1					
Tonga	AU	748	112422	244000000	2300	Nuku_alofa	-21.1333	-175.2	100	70.9	73.4	150.3					
Trinidad_and_Tobago	CA	5128	1075066	11480000000	10500	Port-of-Spain	10.65	-61.5167	90	66.9	73	209.6	Trinidad and Tobago	40.3	14.4	8.3	1992
Tunisia	AF	163610	10074951	70880000000	7100	Tunis	36.8333	10.15	80	71.1	75.3	61.6	Tunisia	39.8	13.4	7.9	2000
Turkey	AS	780580	69660559	5.09E+11	7400	Ankara	39.9333	32.8667	82	66.3	70.9	89.2	Turkey	40	13.3	7.7	2000
Turkmenistan	AS	488100	4952081	27600000000	5700	Ashgabat	37.95	58.3833		58.2	66.7	10.1	Turkmenistan	40.8	12.3	7.7	1998
Tuvalu	AU	26	11636	12200000	1100	Vaiaku	-8.5167	179.2	75	62.4	64.7	447.5					
Uganda	AF	236040	27269482	39390000000	1500	Kampala	0.3167	32.4167	52	46.5	47.1	115.5	Uganda	43	14.9	8.4	1999
Ukraine	EU	603700	46996765	2.99E+11	6300	Kiev	50.4333	30.5167	98	60.1	72.5	77.8	Ukraine	29	6.4	4.3	1999
United_Arab_Emirates	ME	82880	2563212	63670000000	25200	Abu_Dhabi	24.4667	54.3667	67	76.3	80.6	30.9					
United_Kingdom	EU	244820	60441457	1.78E+12	29600	London	51.5	-0.1667	100	75.9	80.6	246.9	United Kingdom	36	13.8	7.2	1999
United_States	NA	9631418	295734134	1.18E+13	40100	Washington	38.8833	-77.0333	100	74.6	80	30.7	United States*	46.6	15.9	8.4	2000
Uruguay	SA	176220	3415920	49270000000	14500	Montevideo	-34.8833	-56.1833	98	71.6	78.9	19.4	Uruguay	44.6	18.9	10.4	2000
Uzbekistan	AS	447400	26851195	47590000000	1800	Tashkent	41.2667	69.2167	85	63.3	69.7	60	Uzbekistan	26.8	6.1	4	2000
Vanuatu	AU	12200	205754	580000000	2900	Port_Vila	-17.75	168.3	88	66.8	70.4	16.9					
Venezuela	SA	912050	25375281	1.45E+11	5800	Caracas	10.5	-66.9333	83	69.9	75.8	27.8	Venezuela	49.1	62.9	17.9	1998
Vietnam	AS	329560	83535576	2.27E+11	2700	Hanoi	21.0333	105.85	77	68.4	72.4	253.5	Vietnam	37	9.4	6	2002
Yemen	ME	527970	20727063	16250000000	800	Sana_a	15.35	44.2	69	59.1	61.7	39.3	Yemen	33.4	8.6	5.6	1998
Zambia	AF	752614	11261795	9409000000	900	Lusaka	-15.4167	28.2833	64	37.9	36.9	15	Zambia	52.6	41.8	17.2	1998
Zimbabwe	AF	390580	12160782	24370000000	1900	Harare	-17.8333	31.05	83	37.5	36.9	31.1	Zimbabwe	56.8	22	12	1995
