Country	Region	Area_km2	Population	GDP_dollar	GDP_per_capita	Capital	Latitude	Longitude	Latitude_deg	Longitude_deg	Sanitation_total	Sanitation_urban	Sanitation_rural	Drinking_total	Drinking_urban	Drinking_rural	Life_Expectancy_Male	Life_Expectancy_Female	School_Total	School_Male	School_Female	Housing_total	Housing_urban	Housing_rural	Unemployment_both	Unemployment_male	Unemployment_female	Marriage_male	Marriage_female	Contraceptives	Fertility	Youth_fertility	HIV_AIDS	HIV_rate_women	Illiteracy_male	Illiteracy_female	Employees_male	Employees_female	Employers_male	Employers_female	Own_account_male	Own_account_female	Family_worker_male	Family_worker_female	Density
Malawi	AF	118480	12707464	7410000000	600	Lilongwe	-13.9833	33.7333	S 13 deg 59	E 33 deg 44	76	96	70	57	95	44	39.7	39.6	12	12	11							24	19	31	6.1	163	900	57	17.9	29.3	21	5	0	0	76	93	3	2	107.3
Malaysia	AS	329750	23953136	2.29E+11	9700	Kuala_Lumpur	3.1667	101.7	N 3 deg 10	E 101 deg 42			98			94	70.8	75.5	12	12	13				3.6	3.6	3.6	29	25	55	2.9	18	52	17	2.8	2.7									72.6
Maldives	AS	300	349106	1250000000	3900	Male	4.1667	73.5	N 4 deg 10	E 73 deg 30	56	100	41	100	100	100	66.9	65.8	12		12							26	22		4.3	70			0.9	0.8	21	29	5	1	55	35	1	3	1163.7
Mali	AF	1240000	11415261	11000000000	900	Bamako	12.65	-8	N 12 deg 39	W 8 deg 00	69	93	58	65	74	61	47.1	48.4	4									26	18	8	6.9	209	140	59	67.7	83.1									9.2
Malta	EU	316	398534	7223000000	18200	Valletta	35.9	14.5167	N 35 deg 54	E 14 deg 31	100	100	100	100	100	100	75.8	80.7	14	14	14				7.6	7.1	8.7	26	22		1.5	17	1		2.4	0.2	83	92	6		11	6			1261.2
Mauritania	AF	1030700	3086859	5534000000	1800	Nouakchott	18.1	-15.95	N 18 deg 06	W 15 deg 57	33	44	19	37	34	40	50.9	54.1	7	7	7							29	22	8	5.8	104	10	57	32.3	44.5									3
Mauritius	AF	2040	1230602	15680000000	12800	Port_Louis	-20.1667	57.5	S 20 deg 10	E 57 deg 30	99	100	99	100	100	100	68.7	75.6	12	12	12	1.2	1.1	1.3	10.2	9	12.6	28	24	75	2	33			6.3	4.6	79	91	5	2	15	5	0	2	603.2
Mayotte	AF	374	193633	466800000	2600	Mamoutzou	-12.7833	45.2333	S 12 deg 47	E 45 deg 14																																			517.7
Mexico	CA	1972550	106202903	1.01E+12	9600	Mexico_City	19.4	-99.15	N 19 deg 24	W 99 deg 09	74	88	34	88	95	69	72.4	77.4	12	12	12		1.4		2.1	2.1	2.3	25	23	68	2.4	70	160	33	2.1	2.7	62	62	5	2	26	24	7	12	53.8
Moldova	EU	33843	4455421	8581000000	1900	Chisinau	47	28.8333	N 47 deg 00	E 28 deg 50	99	100	98	92	97	88	63.7	71.1	10	10	10				7.9	9.6	6.4	24	21	62	1.2	33	6		1.7	0.9	63	65	1	0	35	31	1	3	131.6
Monaco	EU	2	32409	870000000	27000	Monaco	43.7333	7.4	N 43 deg 44	E 7 deg 24	100	100	100	100	100	100																													16204.5
Mongolia	AS	1564116	2791272	5332000000	1900	Ulaanbaatar	47.9167	106.8833	N 47 deg 55	E 106 deg 53	30	46	2	60	77	30	61.9	65.9	10	9	11				3.5	3.2	3.8	26	24	67	2.4	54	1		3	1.6	39	44	2	1	44	16	14	39	1.8
Morocco	AF	446550	32725847	1.35E+11	4200	Rabat	34.0333	-6.85	N 34 deg 02	W 6 deg 51	68	86	44	80	98	56	67.4	71.7	9	10	8				11.9	17.4	25.8	30	25	50	2.8	25	15		22.6	38.7	40	34	3	0	31	12	22	52	73.3
Mozambique	AF	801590	19406703	23380000000	1200	Maputo	-25.9667	32.5833	S 25 deg 58	E 32 deg 35	43	68	26	57	81	41	41	42.8	5	6	5							23	18	6	5.5	104	1300	56	23.4	50.8									24.2
Namibia	AF	825418	2030692	14760000000	7300	Windhoek	-22.9333	17.15	S 22 deg 56	E 17 deg 09	41	96	17	77	100	67	47.7	49.4	12	11	12				33.8	28.3	39		26	29	4	58	210	55	8.8	6.5									2.5
Nepal	AS	140800	27676547	39530000000	1500	Kathmandu	27.7167	85.3167	N 27 deg 43	E 85 deg 19	28	73	22	88	94	87	60.9	61.7	10	11	9							23	19	39	3.7	123	61	27	19.4	39.8	34	13	4	4	57	71	6	13	196.6
Netherlands	EU	41526	16407491	4.81E+11	29500	Amsterdam	52.3833	4.9	N 52 deg 23	E 4 deg 54	100	100	100	100	100	100	75.6	81	16	16	16	0.7	0.6	0.6	4.3	4.2	4.4	33	30	79	1.7	5	19	20			87	91			13	8	0	1	395.1
New_Zealand	AU	268680	4035461	92510000000	23200	Wellington	-41.2833	174.7833	S 41 deg 17	E 174 deg 47					100		76.7	81.3	18	17	19	0.5	0.5	0.5	4.7	4.4	5	27	25	75	2	26	1				76	87	9	4	15	8	0	1	15
Nicaragua	CA	129494	5465100	12340000000	2300	Managua	12.15	-86.2833	N 12 deg 09	W 86 deg 17	85	95	72	77	91	59	67.1	71.9				2.6	2.2	3.1	13.3	8.8	14.5	24	21	69	3.3	125	6	34	16.4	11.2	60	59	2	1	35	35			42.2
Niger	AF	1267000	12162856	9716000000	900	Niamey	13.5167	2.1167	N 13 deg 31	E 2 deg 07	20	79	5	59	70	56	44.2	44.3	3	3	2							24	18	14	7.9	271	70	56	73.8	85.8									9.6
Nigeria	AF	923768	128765768	1.26E+11	1000	Abuja	9.2	7.1833	N 9 deg 12	E 7 deg 11	54	66	45	62	78	49	43.1	43.5										27	21	13	5.8	153	3600	58	9.3	13.5	49	33	4	1					139.4
Norway	EU	324220	4593041	1.83E+11	40000	Oslo	59.9167	10.75	N 59 deg 55	E 10 deg 45				100	100	100	76.7	81.8	17	16	18	0.6	0.6	0.6	4.5	4.9	4	34	31	74	1.8	10	2				90	95			10	4	0	0	14.2
Oman	ME	212460	3001583	38090000000	13100	Muscat	23.6167	58.5833	N 23 deg 37	E 58 deg 35	92	98	61	39	41	30	72.7	75.6	10	11	10							26	22	24	3.8	50	1		0.4	2.7	88	88	2	1	10	9			14.1
Pakistan	AS	803940	162419946	3.47E+11	2200	Islamabad	33.7	73.1667	N 33 deg 42	E 73 deg 10	62	95	43	90	95	87	62.7	63.1				3	2.8	3.1	8.3	6.7	16.5	26	21	28	4.3	70	74	12	25.2	46.1	40	37	1	0	42	16	16	47	202
Palau	AU	458	20303	174000000	9000	Koror	7.35	134.4667	N 7 deg 21	E 134 deg 28	100	100	100	79	100	20	67.2	75.1	15	15	16																								44.3
Palestina	ME	6220	3761904	2568000000	700	Jerusalem	31.7833	35.2333	N 31 deg 47	E 35 deg 14	100	100	100	86	97	86	70.8	73.9	13	12	13				25.6	26.9	18.6	25	22		5.6	93			1.3	1.4	58	55	4	1	31	12	7	33	604.8
Panama	CA	78200	3140232	20570000000	6900	Panama_City	8.9667	-79.5333	N 8 deg 58	W 79 deg 32	92	99	83	90	99	79	72.2	77.4	12	12	13	1.6	1.4	1.9	13.6	10.5	18.8	26	22	58	2.7	89	16	41	3.5	4.4	60	75	4	2	34	19	3	4	40.2
Papua_New_Guinea	AU	462840	5545268	11990000000	2200	Port_Moresby	-9.5	147.1667	S 9 deg 30	E 147 deg 10	82	92	80	42	88	32	54.7	55.8	6	6	5				2.8	4.3	1.3		21	26	4.1	67	16	30	30.9	35.9									12
Paraguay	SA	406750	6347884	29930000000	4800	Asuncion	-25.2667	-57.6667	S 25 deg 16	W 57 deg 40	94	94	93	78	93	59	68.6	73.1	12	12	12				10.8	9	13.6	26	22	57	3.9	68	15	26	3.8	3.5	45	45	8	3	34	42			15.6
Peru	SA	1285220	27925628	1.55E+11	5600	Lima	-12.05	-77.05	S 12 deg 03	W 77 deg 03	71	79	49	80	87	62	67.3	72.4	14			2	1.9	2.4	10.3	9	11.9	27	23	69	2.9	55	82	34	2.2	4.3	57	43	7	2	33	35	2	6	21.7
Philippines	AS	300000	87857473	4.31E+11	5000	Manila	14.5833	121	N 14 deg 35	E 121 deg 00	83	93	69	86	91	79	68.1	72.4	12	12	12				9.8	9.4	10.3	27	24	49	3.2	39	9	22	5.5	4.3									292.9
Poland	EU	312685	38557984	4.63E+11	12000	Warsaw	52.2167	21.0333	N 52 deg 13	E 21 deg 02							70.2	78.4	15	15	16	1	0.9	1.1	19.6	19	20.4	28	25	49	1.3	15	14				70	76	5	2			4	7	123.3
Portugal	EU	92391	10566212	1.89E+11	17900	Lisbon	38.7167	-9.1333	N 38 deg 43	W 9 deg 08							73.8	80.5	16	16	17	0.7	0.7	0.7	6.3	5.5	7.2	27	24	66	1.5	20	22	20	1.3	1	72	75	9	4	18	19	1	2	114.4
Puerto_Rico	CA	9104	3911299	68950000000	17700	San_Juan	18.4833	-66.1333	N 18 deg 29	W 66 deg 8							71.6	80.5				0.7	0.6	0.7	12	12.8	10.9		23	78	1.9	62			2.9	1.6	80	92			19	7	0	1	429.6
Qatar	ME	11437	863051	19490000000	23200	Doha	25.2833	51.5333	N 25 deg 17	E 51 deg 32							71.1	75.8	13	12	13				3.9	2.3	12.6	29	26	43	3	19			5.9	4.2	99	100	1	0	1		0		75.5
Reunion	AF	2517	776948	4570000000	6000	Saint_Denis	-21.0833	55.4833	S 21 deg 5	E 55 deg 29							71.3	79.6				1	1	0.9				30	28	67	2.5	37			4.2	0.3									308.7
Romania	EU	237500	22329977	1.72E+11	7700	Bucharest	44.4333	26.1	N 44 deg 26	E 26 deg 06	53	86	10	58	91	16	67.7	75	12	12	13	1.3	1.3	1.2	7	7.5	6.4	27	24	64	1.3	36	7		2.3	2.2	63	62	2	1	27	14	8	23	94
Russia	AS	17075200	143420309	1.41E+12	9800	Moscow	55.75	37.5833	N 55 deg 45	E 37 deg 35				99	100	96	59.1	72.2	13	13	14				8.9	9.3	8.5	24	22	73	1.3	30	860	34	0.3	0.2	92	93	2	1	6	5	0	0	8.4
Rwanda	AF	26338	8440820	10430000000	1300	Kigali	-1.95	30.0667	S 1 deg 57	E 30 deg 04	8	12	8	41	60	40	41.9	45.3	8	8	8							26	23	13	5.7	49	250	57	22.8	24.1									320.5
Saint_Helena	AF	410	7460	18000000	2500	Mamoutzou	-12.7833	45.2333	S 12 deg 47	E 45 deg 14																																			18.2
Samoa	AU	2944	177287	1000000000	5600	Apia	-13.5833	-172.3333	S 13 deg 35	W 172 deg 20	99	95	100	99	95	100	67.1	73.5	12	12	12							27	24	34	4.4	37			0.6	0.5									60.2
San_Marino	EU	61	28880	940000000	34600	San_Marino	43.9333	12.45	N 43 deg 56	E 12 deg 27												0.7	0.7	0.8	3.1	1.5	5.5										87	91	13	9					473.4
Saudi_Arabia	ME	1960582	26417599	3.10E+11	12000	Riyadh	24.7	46.7167	N 24 deg 42	E 46 deg 43	100	100	100	95	100	64	69.9	73.8	10	10	10				5.2	4.2	11.5	26	22	32	4.1	35			1.9	6.3									13.5
Senegal	AF	196190	11706498	18360000000	1700	Dakar	14.6667	-17.4333	N 14 deg 40	W 17 deg 26	70	94	48	78	92	65	54.4	56.8	6										22	13	5	87	44	56	41.5	59									59.7
Serbia_and_Montenegro	EU	102350	10829175	26270000000	2400	Belgrade__	44.8333	20.5	N 44 deg 50	E 20 deg 30	100	100	99	98	99	97	70.9	75.6	13	13	13	1.2	3.1	3.3	15.2	14.4	16.4	27	23	58	1.7	25	10	20	0.6	0.7									105.8
Seychelles	AF	455	81188	626000000	7800	Victoria	-4.6167	55.45	S 4 deg 37	E 55 deg 27									14		14										2				1.2	0.6	73	86	2	1	20	4	1		178.4
Sierra_Leone	AF	71740	5867426	3335000000	600	Freetown	8.5	-13.25	N 8 deg 30	W 13 deg 15	66	88	53	57	75	46	39.3	42	7	8	6							28	20	4	6.5	192			53.1	70.1									81.8
Singapore	AS	693	4425720	1.21E+11	27800	Singapore	1.2833	103.85	N 1 deg 17	E 103 deg 51	100	100		100	100		76.7	80.5							5.4	5.5	5.3	30	27	62	1.4	6	4	24	0.6	0.4	82	92	7	2	11	5	0	1	6386.3
Slovakia	EU	48845	5431363	78890000000	14500	Bratislava	48.15	17.1167	N 48 deg 09	E 17 deg 07	100	100	100	100	100	100	70	77.9	14	13	14	1.2	1.2	1.2	17.5	17.2	17.7	28	25	74	1.2	21	0		0.4	0.3	87	94	4	2	9	4	0	0	111.2
Slovenia	EU	20273	2011070	39410000000	19600	Ljubljana	46.05	14.5167	N 46 deg 03	E 14 deg 31				100	100	100	72.6	79.9	16	15	17				6.6	6.1	7.1	32	30	74	1.2	6	1		0.2	0.2	83	89	4	2	9	3	3	6	99.2
Solomon_Islands	AU	28450	538032	800000000	1700	Honiara	-9.4667	159.8167	S 9 deg 28	E 159 deg 49	34	98	18	71	94	65	61.6	62.9													4.3	51													18.9
Somalia	AF	637657	8591629	4597000000	600	Mogadishu	2.0667	45.3667	N 2 deg 04	E 45 deg 22							45	47.3													6.4	71													13.5
South_Africa	AF	1219912	44344136	4.91E+11	11100	Pretoria	-25.75	28.1667	S 25 deg 45	E 28 deg 10	87	93	80	86	99	73	47.1	51	13	13	13				29.7	26.6	33.4	30	28	56	2.8	71	5300	57	6.3	5.6	82	79	15	15	3	4	1	1	36.4
Spain	EU	504782	40341462	9.38E+11	23300	Madrid	40.4	-3.6833	N 40 deg 24	W 3 deg 41							75.8	83.1	16	15	16				11.3	8.2	15.9	28	26	81	1.3	10	140	21			79	85	7	3	12	9	1	3	79.9
Sri_Lanka	AS	65610	20064776	80580000000	4000	Colombo	6.9333	79.85	N 6 deg 56	E 79 deg 51	94	97	93	77	98	70	71.3	76.7				2.2	2.3	2.1	9.2	6.4	14.6		25	66	2	20	4	17	4.9	4	59	60	4	1	35	19	4	21	305.8
Sudan	AF	2505810	40187486	76190000000	1900	Khartoum	15.6	32.5333	N 15 deg 36	E 32 deg 32	62	87	48	75	86	69	54.9	57.9	5									29	23	8	4.4	55	400	58	18.4	30.8									16
Suriname	SA	163270	438144	1885000000	4300	Paramaribo	4	-56	N 4 deg   	W 56 deg  	93	99	75	82	93	50	65.8	72.5	12	12	13				14	10	20			42	2.6	45	5	34	4.9	7.9	78	87	1	0	19	9	1	2	2.7
Swaziland	AF	17363	1138227	6018000000	5100	Mbabane	-26.3	31.1	S 26 deg 18	E 31 deg 06							32.5	33.4	10	10	10							29	26	28	4	39	220	55	13.2	10.6									65.6
Sweden	EU	449964	9001774	2.55E+11	28400	Stockholm	59.35	18.0667	N 59 deg 21	E 18 deg 4	100	100	100	100	100	100	77.8	82.3	19	17	21	0.5	0.5	0.5	4.9	5.3	4.4	35	32	78	1.6	7	4	26			86	95	14	5			0	0	20
Switzerland	EU	41290	7489370	2.52E+11	33800	Bern__	46.95	7.4333	N 46 deg 57	E 7 deg 26	100	100	100	100	100	100	77.6	83.1	16	16	15	0.6	0.6	0.6	4.1	3.8	4.5	32	29	82	1.4	5	13	30			80	85	9	4	9	8	2	3	181.4
Syria	AF	185180	18448752	60440000000	3400	Damascus	33.5	36.3	N 33 deg 30	E 36 deg 18	90	98	81	80	94	64	71.4	74.9	9			2	1.8	2.3	11.7	8.3	24.1			36	3.5	36	1		2.9	7									99.6
Taiwan	AS	35980	22894384	5.76E+11	25300	Taipei	25.0333	121.6333	N 25 deg 02	E 121 deg 38																																			636.3
Tajikistan	AS	143100	7163506	7950000000	1100	Dushanbe	38.5833	68.8	N 38 deg 35	E 68 deg 48	90	97	88	60	93	47	61	66.3	11	12	10				2.7	2.4	2.9	23	21	34	3.8	32	0		0.2	0.2									50.1
Tanzania	AF	945087	36766356	23710000000	700	Dar_es_Salaam	-6.8	39.2833	S 6 deg 48	E 39 deg 17	90	99	86	68	90	57	45.6	46.4	5	5	5				5.1	4.4	5.8	25	21	25	5	118			19.1	23.8									38.9
Thailand	AS	514000	64185502	5.25E+11	8100	Bangkok	13.75	100.5167	N 13 deg 45	E 100 deg 31	96	96	96	84	95	81	66	73.7	12	13	12				1.5	1.6	1.4	26	24	72	1.9	49	570	36	1.9	2.2	41	40	5	1	38	23	16	35	124.9
Togo	AF	56785	5399991	8684000000	1600	Lome	6.1333	1.2167	N 6 deg 08	E 1 deg 13	34	69	17	54	85	38	52.3	56.2	10	12	8							27	21	26	5.4	104	110	56	16.9	36.7									95.1
Tonga	AU	748	112422	244000000	2300	Nuku_alofa	-21.1333	-175.2	S 21 deg 08	W 175 deg 12				100	100	100	70.9	73.4	13	13	14							28	26		3.5	13			0.8	0.6	43	40	1	0	26	25	30	34	150.3
Trinidad_and_Tobago	CA	5128	1075066	11480000000	10500	Port-of-Spain	10.65	-61.5167	N 10 deg 39	W 61 deg 31	99			90			66.9	73	11	11	12				10.4	7.8	14.5	30	27	38	1.6	37	29	50	0.2	0.2	74	82	6	3	18	12	0	2	209.6
Tunisia	AF	163610	10074951	70880000000	7100	Tunis	36.8333	10.15	N 36 deg 50	E 10 deg 09	84	96	62	80	92	58	71.1	75.3	13						14.3			30	27	60	2	7	1		3.6	7.8									61.6
Turkey	AS	780580	69660559	5.09E+11	7400	Ankara	39.9333	32.8667	N 39 deg 56	E 32 deg 52	90	97	70	82	81	86	66.3	70.9	11	12	10	1.3	1.3	1.4	10.5	10.7	10.1		22	64	2.5	45			1.6	5.2	55	38	7	1	30	12	8	49	89.2
Turkmenistan	AS	488100	4952081	27600000000	5700	Ashgabat	37.95	58.3833	N 37 deg 57	E 58 deg 23							58.2	66.7											23	62	2.8	17	0		0.2	0.2									10.1
Tuvalu	AU	26	11636	12200000	1100	Vaiaku	-8.5167	179.2	S 8 deg 31	E 179 deg 12							62.4	64.7	11		10																								447.5
Uganda	AF	236040	27269482	39390000000	1500	Kampala	0.3167	32.4167	N 0 deg 19	E 32 deg 25	79	93	77	52	80	47	46.5	47.1	11	12	11				3.2	2.5	3.9	23	20	23	7.1	211	530	60	13.7	26									115.5
Ukraine	EU	603700	46996765	2.99E+11	6300	Kiev	50.4333	30.5167	N 50 deg 26	E 30 deg 31	99	100	98	98	100	94	60.1	72.5	13	13	14				9.1	9.4	8.8		22	68	1.1	30	360	33	0.2	0.2	88	87			11	11	1	2	77.8
United_Arab_Emirates	ME	82880	2563212	63670000000	25200	Abu_Dhabi	24.4667	54.3667	N 24 deg 28	E 54 deg 22							76.3	80.6	11						2.3	2.2	2.6	26	23	28	2.5	22	51	30	11.8	5									30.9
United_Kingdom	EU	244820	60441457	1.78E+12	29600	London	51.5	-0.1667	N 51 deg 30	W 0 deg 10	100	100	100	100	100	100	75.9	80.6	22	20	23	0.5	0.5	0.4	4.8	5.5	4.1	28	26	84	1.7	28	1600	56			83	92			17	7	0	0	246.9
United_States	NA	9631418	295734134	1.18E+13	40100	Washington	38.8833	-77.0333	N 38 deg 53	W 77 deg 02	100	100	100	100	100	100	74.6	80	16	15	16	0.5	0.5	0.5	6	6.3	5.7	29	26	76	2	51	950	26			91	94			9	6	0	0	30.7
Uruguay	SA	176220	3415920	49270000000	14500	Montevideo	-34.8833	-56.1833	S 34 deg 53	W 56 deg 11	94	95	85	98	98	93	71.6	78.9	15	13	15	1	1	1	16.9	13.5	20.8	26	23		2.3	70	6	33	1.2	0.6	66	76	5	2	29	20	1	2	19.4
Uzbekistan	AS	447400	26851195	47590000000	1800	Tashkent	41.2667	69.2167	N 41 deg 16	E 69 deg 13	89	97	85	85	94	79	63.3	69.7	11										21	68	2.7	37	11	34	0.3	0.4									60
Vanuatu	AU	12200	205754	580000000	2900	Port_Vila	-17.75	168.3	S 17 deg 45	E 168 deg 18	100	100	100	88	63	94	66.8	70.4	9									25	23	15	4.2	52													16.9
Venezuela	SA	912050	25375281	1.45E+11	5800	Caracas	10.5	-66.9333	N 10 deg 30	W 66 deg 56	68	71	48	83	85	70	69.9	75.8	11	11	12				15.8	14.3	18.1	25	22	52	2.7	92	110	32	3.7	1.9	60	57	9	3	29	37			27.8
Vietnam	AS	329560	83535576	2.27E+11	2700	Hanoi	21.0333	105.85	N 21 deg 02	E 105 deg 51	47	82	38	77	95	72	68.4	72.4	11	11	10				2.8	2.3	3.2		22	79	2.3	21	220	33	5.8	6.4									253.5
Yemen	ME	527970	20727063	16250000000	800	Sana_a	15.35	44.2	N 15 deg 21	E 44 deg 12	38	89	21	69	74	68	59.1	61.7	8	11	5				11.5	12.5	8.2		21	21	6.2	98	12		15.7	49.1									39.3
Zambia	AF	752614	11261795	9409000000	900	Lusaka	-15.4167	28.2833	S 15 deg 25	E 28 deg 17	78	99	64	64	88	48	37.9	36.9	7	7	7							26	21	34	5.7	133	920	57	27.4	33.9									15
Zimbabwe	AF	390580	12160782	24370000000	1900	Harare	-17.8333	31.05	S 17 deg 50	E 31 deg 03	62	71	57	83	100	73	37.5	36.9	9	10	9				6	7.3	4.6	26	21	54	3.6	97	1800	58	1.1	3.8									31.1
