Country	Region	Area_km2	Population	GDP_dollar	GDP_per_capita	Capital	Latitude	Longitude	Latitude_deg	Longitude_deg	Sanitation_total	Sanitation_urban	Sanitation_rural	Drinking_total	Drinking_urban	Drinking_rural	Life_Expectancy_Male	Life_Expectancy_Female	School_Total	School_Male	School_Female	Housing_total	Housing_urban	Housing_rural	Unemployment_both	Unemployment_male	Unemployment_female	Marriage_male	Marriage_female	Contraceptives	Fertility	Youth_fertility	HIV_AIDS	HIV_rate_women	Illiteracy_male	Illiteracy_female	Employees_male	Employees_female	Employers_male	Employers_female	Own_account_male	Own_account_female	Family_worker_male	Family_worker_female	Density
Brunei	AS	5770	372361	6842000000	23600	Bandar_Seri_Begawan	4.75	114.9167	N 4 deg 45	E 114 deg 55							74.2	78.9	13	13	16							27	25		2.5	31	0	0	1.1	1.1									64.5
Bulgaria	EU	110910	7450349	61630000000	8200	Sofia	42.7	23.3333	N 42 deg 42	E 23 deg 20	100	100	100	100	100	100	68.8	75.6	12	12	13	1	1.2	0.8	13.7	14.1	13.2	25	21	42	1.2	46	1		1.7	1.9	82	88	5	2	12	7	1	3	67.2
Burkina_Faso	AF	274200	13491736	15740000000	1200	Ouagadougou	12.3667	-1.5167	N 12 deg 22	W 1 deg 31	29	39	27	42	66	37	46.7	48.1	3	4	3							26	19	14	6.7	165	300	56	74.5	86									49.2
Burma	AS	678500	46996558	74300000000	1700	Rangoon	16.7833	96.1667	N 16 deg 47	E 96 deg 10									7									26	25	33	2.5	21	330	30	4.4	6.8									69.3
Burundi	AF	27830	7795426	4001000000	600	Bujumbura	-3.3833	29.3667	S 3 deg 23	E 29 deg 22	88	68	90	78	91	77	42.5	44.4	5	6	5				14	15	13.2	26	22	16	6.8	50	250	59	24.4	30.5									280.1
Cambodia	AF	181040	13636398	26990000000	2000	Phnom_Penh	11.55	104.9167	N 11 deg 33	E 104 deg 55	17	56	10	30	54	26	52.1	59.6	9	10	8				1.8	1.5	2.2	24	22	24	4.1	51	170	30	12.1	21.1	19	14	0	0	49	33	32	53	75.3
Cameroon	AF	475440	16988132	30170000000	1900	Yaounde	3.8667	11.5167	N 3 deg 52	E 11 deg 31	79	92	66	58	78	39	45.1	46.5	9	10	8	1.2	1.2	1.3				27	20	19	4.6	122	560	56											35.7
Canada	NA	9984670	32805041	1.02E+12	31500	Ottawa	45.4167	-75.6667	N 45 deg 25	W 75 deg 40	100	100	99	100	100	99	77.3	82.4	16	16	16	0.5	0.5	0.5	7.6	8	7.2	30	27	75	1.5	15	56	24			81	89			19	11	0	0	3.3
Cape_Verde	AF	4033	418224	600000000	1400	Praia	14.9167	-23.5167	N 14 deg 55	W 23 deg 31	71	95	32	74	64	89	66.8	73	12	12	12							28	26	53	3.8	94			8	13.7									103.7
Central_African_Republic	AF	622984	4237703	4248000000	1100	Bangui	4.3667	18.5833	N 4 deg 22	E 18 deg 35	25	38	16	70	89	57	38.5	40.3										24	20	28	5	133	260	54	29.7	53.2									6.8
Chad	AF	1284000	9657069	15660000000	1600	NDjamena	12.1167	15.05	N 12 deg 07	E 15 deg 03	29	81	13	27	31	26	42.5	44.8	5	7	4							24	18	8	6.7	195	200	56	44.7	76.9									7.5
Chile	SA	756950	15980912	1.69E+11	10700	Santiago	-33.4333	-70.6667	S 33 deg 26	W 70 deg 40	96	96	97	93	99	58	74.8	80.8	14	14	13				7.4	6.9	8.3	26	23	30	2	62	26	33	1.2	0.8	66	73	4	2	29	22	1	3	21.1
China	AS	9596960	1306313812	7.26E+12	5600	Beijing	39.9333	116.4	N 39 deg 56	E 116 deg 24	40	69	27	75	94	66	69.8	73.3	10						4			25	23	84	1.7	5	840	23	0.8	1.5									136.1
Colombia	SA	1138910	42954279	2.81E+11	6600	Bogota	4.6	-74.0833	N 4 deg 36	W 74 deg 05	86	96	56	91	99	70	69.2	75.3	11	10	11	1.4	1.3	1.7	14.2	11	18.5	27	23	77	2.6	80	190	34	3.3	1.6	49	52	6	3	41	37	4	9	37.7
Comoros	AF	2170	671247	441000000	700	Moroni	-11.6833	43.2667	S 11 deg 41	E 43 deg 16	98	98	98	96	98	95	60.9	65.1	7	7	6							28	24	26	4.9	59			34.4	47.8									309.3
"Congo,_Democratic_Republic"	AF	2345410	60764490	42740000000	700	Kinshasa__	-4.4	15.4	S 4 deg 24	E 15 deg 24	21	54	6	45	89	26	42.1	44.1												31	6.7	230	1100	57	23.3	38.9									25.9
"Congo,_Republic"	AF	342000	3602269	2324000000	800	Brazzaville	-4.2333	15.2333	S 4 deg 14	E 15 deg 14		14		51	71	17	50.6	53.1	8												6.3	146	90	56	1.6	2.7									10.5
Costa_Rica	CA	51100	4016173	37970000000	9600	San_Jose	9.9333	-84.0833	N 9 deg 56	W 84 deg 5	93	89	97	95	99	92	75.8	80.6	11	11	11	0.9	0.8	1	6.7	5.8	8.2		21	80	2.3	78	12	33	1.9	1.3	69	71	11	5	19	20	2	4	78.6
